Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09
"(Periodicity: Week, Applied Time Period: from 1/2009 to 53/2010)"
,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52
Afghanistan,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,1,53,31,0,20,4,0,1,7,1,0,"=T("" "")",2,3,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")"
Albania,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,1,1,3
Algeria,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,2,3,0,2,5,1,3,7,4,7,4,0,0,0,2,1,2,13,25,5,17,53,93,70,0,93,49,"=T("" "")",37,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1
Angola,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,2,0,0,3,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,1,0,127,17,32,525,702,"2,125","3,092","1,485",667,216,137,89,65,75,53,12,20,9,9,3,5,9,3,2,2,6,9,3,3,7,2,2,"=T("" "")",1,5,4,1,1,0,0,0,0,0,0,2,1,0,1,0,0,4,5,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Armenia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,69,71,80,128,456,636,751,558,579,474,175,128,109,57,28,26,17,16,5,2,4,4,5,3,4,6,4,3,0,0,2,1,0,0,1,1,0,2,1,0,1,1,0,0,1,2,1,0,0,1,2,2,0,2,7,16,13,14,13,26,29,20,36,49,51,47,30,62,46,41,20,25,26,18,11,5,5,3,3,2,4,3
Austria,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9
Azerbaijan,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0
Bangladesh,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,1,3,1,5,4,6,5,11,8,5,9,9,7,10,3,8,3,6,8,10,7,12,11,13,5,18,12,4,5,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
