year,country,count,iso_a3,iso_a3_ch.csv
2015,三托,0,NA,
2015,千里達及托貝哥,0,NA,
2015,大溪地,0,NA,
2015,中東,123664,NA,
2015,中非共和國,0,NA,
2015,中國大陸,3403920,NA,中國
2015,中華民國,NA,NA,NA
2015,厄瓜多爾,0,NA,厄瓜多
2015,巴布亞新幾內亞,4,NA,巴布亞紐幾內亞
2015,衣索匹亞,0,NA,衣索比亞
2015,西撒哈拉,0,NA,
2015,西薩摩亞,9,NA,薩摩亞
2015,坦桑尼亞,5,NA,坦尚尼亞
2015,孟加拉,0,NA,
2015,東德,0,NA,
2015,波士尼亞,0,NA,
2015,阿拉伯聯合大公國,76360,NA,阿聯
2015,阿富汗(觀光),0,NA,
2015,南斯拉夫,0,NA,
2015,南葉門,0,NA,
2015,迦納,0,NA,
2015,哥斯達黎加,0,NA,
2015,馬拉加西,0,NA,
2015,馬紹爾,17,NA,馬紹爾群島
2015,密克羅尼西亞,0,NA,
2015,教廷,0,NA,
2015,莫三鼻克,0,NA,
2015,斯洛凡尼亞,0,NA,
2015,聖文森,0,NA,
2015,聖多美及普林西比,0,NA,
2015,聖克里斯多福,0,NA,
2015,維德角島,0,NA,
2015,蓋亞納,0,NA,
2015,裴濟,37,NA,斐濟
2015,澳洲,103806,NA,澳大利亞
2015,獨立國協,0,NA,
2015,聯合國,0,NA,
2015,薩伊,0,NA,
2015,蘇聯(觀光),0,NA,
