distance(capital),country
16481.545003083655,Guyana
16575.31778414373,Suriname
16037.853403960411,Trinidad and Tobago
15957.23340227092,Venezuela
8348.48083398375,Samoa
8511.341099576648,Tonga
18942.040768028826,Argentina
18599.386801844255,Bolivia
18551.408058276822,Brazil
18472.03860810652,Chile
16493.19051435996,Ecuador
19976.400087378443,Paraguay
19976.400087378443,Paraguay
17564.513886596465,Peru
18897.764363255294,Uruguay
14386.752807767896,Guatemala
13383.521235590077,Mexico
15781.261347486537,Barbados
15526.354061039445,Dominica
15880.563442629085,Grenada
15673.125221212456,St. Lucia
15763.361388674939,St. Vincent and the Grenadines
15023.192773705201,Dominican Republic
15023.192773705201,Dominican Republic
14942.829064196176,Haiti
14942.829064196176,Haiti
14829.531959581287,Jamaica
14085.505765783655,Bahamas
14266.226629063556,Belize
16297.80109306961,Colombia
15220.248007091452,Costa Rica
14065.277555355331,Cuba
14065.277555355331,Cuba
14553.100639457869,El Salvador
14648.988859064688,Honduras
14880.655317047713,Nicaragua
15586.387306117716,Panama
15321.449506241239,Antigua & Barbuda
15292.760558077902,St. Kitts and Nevis
9632.23395063673,Iceland
9997.726878975485,Ireland
9826.361843645112,United Kingdom
14224.34854722122,Cape Verde
13319.517905323133,Ivory Coast
12923.211167127041,Ghana
13850.493285144707,Liberia
11312.708582748493,Portugal
10846.245272836017,Spain
12632.272745081578,Burkina Faso
13884.21573254003,Guinea
13871.407638872624,Guinea-Bissau
13181.41587244499,Mali
13802.712009359644,Senegal
13913.135730815804,Sierra Leone
13830.16423123976,Gambia
8364.305184680512,Djibouti
8623.55653393354,Eritrea
8924.099913616816,Ethiopia
8924.099913616816,Ethiopia
2860.888521198351,Mongolia
9943.944007873235,Uganda
7433.568074186787,Iraq
8236.276073404,Jordan
5157.489477366275,Kazakhstan
8729.851266762234,Norway
8729.851266762234,Norway
7399.628381700372,Russia
8395.094497723649,Sweden
10652.376061904686,Algeria
10364.341213241118,Andorra
11879.952326016499,Cameroon
11155.564443806676,Central African Republic
9897.315884212381,Monaco
10128.734461642387,Tunisia
10128.734461642387,Tunisia
12601.350172485776,Benin
12154.38760408866,Equatorial Guinea
6068.452121471418,Kiribati
12233.815085890985,Niger
11988.167390536157,Nigeria
12537.342993041222,Sao Tome and Principe
12662.318805471625,Togo
9156.04683753196,Albania
9156.04683753196,Albania
9133.842046510475,Bosnia and Herzegovina
9198.724479164204,Croatia
9660.085471028317,Italy
9002.433508957041,Macedonia
9849.364200550277,Malta
9545.301762230933,San Marino
8829.703331851477,Bulgaria
8337.720388176642,Cyprus
7178.746788961151,Georgia
9014.766447539958,Greece
9014.766447539958,Greece
8201.627793869897,Lebanon
8200.628516373505,Turkey
9047.420622521662,Austria
9047.420622521662,Austria
9068.745300808867,Czech Republic
8873.298005127552,Denmark
8873.298005127552,Denmark
8902.154310930864,Hungary
8552.462810935494,Poland
8552.462810935494,Poland
9000.687793293726,Slovakia
9285.569912402088,Slovenia
9627.780509984355,Belgium
9627.780509984355,Belgium
9874.809685564796,France
9874.809685564796,France
9550.585959413382,Liechtenstein
9603.669481754936,Luxembourg
9603.669481754936,Luxembourg
9495.307435882161,Netherlands
9495.307435882161,Netherlands
9693.576604723672,Switzerland
8075.922246123238,Belarus
8039.21489738824,Estonia
8039.21489738824,Estonia
8001.195986834584,Finland
8165.795636443954,Latvia
8165.795636443954,Latvia
8184.869354795947,Lithuania
8184.869354795947,Lithuania
8243.230317589727,Moldova
8546.264015448647,Romania
8004.92944611699,Ukraine
5671.180243036284,Maldives
6375.221756068592,Oman
8571.061808957034,Somalia
