Model	Last_Change_Date	Region	Make	Aircraft_Group	Regis_Code	Design_Character	No_Engines	Type_Engine	Type_Landing_Gear	TC_Data_Sheet_Number	TC_Model
058B        	09/09/2003	GL	ARONCA	58    	0191006	1H7	1          	  	  	A751    	AERONCA058B         
1000CLARK   	08/31/1984	SW	CLARK 	1000  	2230102	1Q7	1          	3R	  	2A6     	1000                
100180      	03/22/1983	SW	SLINDS	100   	0140208	1H7	1          	3O	  	1A21    	100180              
1002        	10/07/1999	GL	AMTR  	NORD  	6380102	1L7	1          	3I	RC	EXPAIL71	NORD1002            
100A        	03/22/1983	SW	SLINDS	100   	0140204	1H7	1          	3O	  	1A21    	100A                
100ACMDR    	03/22/1983	SW	SLINDS	100   	0140202	1H7	1          	3O	  	1A21    	100                 
100BEECH    	02/09/2001	CE	BEECH 	100   	1152916	1L7	2          	3T	  	A14CE   	100                 
100BOEING   	03/22/1983	NM	BOEING	100   	1381902	1Q7	1          	3R	  	ATC133  	100                 
1011        	07/12/1999	NM	LKHEED	1011  	N/A-SDR	2L7	3          	4F	RT	A23WE   	L1011               
1011*       	03/22/1983	WP	LKHEED	1011  	       	2L7	3          	4F	  	A23WE   	L1011MODELUNK       
10113851    	03/22/1983	WP	LKHEED	1011  	5265010	2L7	3          	4F	  	A23WE   	L10113851           
1011385114  	03/22/1983	WP	LKHEED	1011  	       	2L7	3          	4F	  	A23WE   	L1011385114         
1011385115  	03/22/1983	WP	LKHEED	1011  	5265015	2L7	3          	4F	  	A23WE   	L1011385115         
10113853    	03/22/1983	WP	LKHEED	1011  	5265020	2L7	3          	4F	  	A23WE   	L10113853           
101ACENTR   	02/19/1986	EU	CNTRAR	101   	1990102	1K0	0          	  	RC	G46EU   	101A                
101APCENTR  	02/19/1986	EU	CNTRAR	101   	1990104	1K0	0          	  	RC	G46EU   	101AP               
101CCENTR   	10/30/2007	GL	CNTRAR	101   	1990105	1K0	0          	  	RC	        	CENTRAIR101C        
101DCENTR   	10/15/2008	EU	CNTRAR	101   	1990109	1K0	0          	  	  	        	101D PAGASE         
101MITCHL   	03/22/1983	EA	MITCHL	101   	2000102	1H7	1          	3R	  	4A15    	CENTAUR101          
101PCENTR   	10/15/2008	EU	CNTRAR	101   	2000103	1K0	0          	  	  	G46EU   	101P                
101ROOS     	03/22/1983	CE	ROOS  	A1    	7680104	1Q7	1          	3V	  	ATC17   	101                 
10200       	08/08/1990	GL	AMTR  	ULTMAT	05612RF	1L7	1          	3O	NT	EXPA1L71	ULTIMATE 10200      
102AARISTOCR	03/22/1983	EA	GENAC 	102   	       	1H7	1          	3R	  	ATC117  	ARISTROCRAT102A     
102E        	11/01/2001	EA	GENAC 	102   	3770104	1H7	1          	3R	  	ATC210  	102E                
102MITCHL   	03/22/1983	EA	MITCHL	102   	2000202	1H7	1          	3R	  	4A15    	102                 
10300S      	04/11/1991	GL	AMTR  	10300S	7220529	1Q7	1          	3O	NC	EXPA1Q71	ULTIMATE 10 300S    
103EXECUTIVE	10/02/2001	GL	AMTR  	103   	0562167	1H7	2          	3O	  	EXPA1H72	BUEHLEREXECUTIVE103 
1049*       	03/22/1983	WP	LKHEED	1049  	       	2L7	4          	4R	  	6A5     	1049MODELUNK        
104954      	06/10/1991	SO	LKHEED	1049  	5262102	2L7	4          	4R	  	6A5     	104954              
1049B55     	06/10/1991	SO	LKHEED	1049  	5262104	2L7	4          	4R	  	6A5     	1049B55             
1049C55     	06/10/1991	SO	LKHEED	1049  	5262107	2L7	4          	4R	  	6A5     	1049C55             
1049D55     	06/10/1991	SO	LKHEED	1049  	5262110	2L7	4          	4R	  	6A5     	1049D55             
1049E55     	06/10/1991	SO	LKHEED	1049  	5262114	2L7	4          	4R	  	6A5     	1049E55             
1049F55     	06/10/1991	SO	LKHEED	1049  	5262116	2L7	4          	4R	  	6A5     	1049F55             
1049G82     	06/10/1991	SO	LKHEED	1049  	5262120	2L7	4          	4R	  	6A5     	1049G82             
1049H82     	06/10/1991	SO	LKHEED	1049  	5262122	2L7	4          	4R	  	6A5     	1049H82             
107*        	11/14/1984	EA	BOEING	107   	9420602	2G7	2          	4U	  	1H16    	107MODELUNK         
1072        	11/14/1984	EA	BOEING	107   	9420604	2G7	2          	4U	  	1H16    	1072                
1072A       	11/14/1984	EA	BOEING	107   	9420606	2G7	2          	4U	  	1H16    	1072A               
1072B       	11/14/1984	EA	BOEING	107   	9420608	2G7	2          	4U	  	1H16    	1072B               
108         	03/22/1983	NM	UNIVAR	108   	9230402	1H7	1          	3O	  	A767    	108                 
1081        	03/22/1983	NM	UNIVAR	108   	9230404	1H7	1          	3O	  	A767    	1081                
1082        	03/22/1983	NM	UNIVAR	108   	9230406	1H7	1          	3O	  	A767    	1082                
1083        	03/22/1983	NM	UNIVAR	108   	9230408	1H7	1          	3O	  	A767    	1083                
1085        	11/06/2001	NM	UNIVAR	108   	9230409	1H7	1          	3O	  	A767    	1085                
10AALAMER   	03/22/1983	WP	ALAMER	10    	0500102	1L7	1          	3O	  	A792    	10A                 
10ALKHEED   	03/22/1983	WP	LKHEED	10    	5261302	1L7	2          	3R	  	TC551   	ELECTRA10A          
10ASTNSON   	03/22/1983	GL	STNSON	10    	8632102	1H7	1          	3O	  	A738    	10A                 
10AVOLAIRE  	03/22/1983	SW	SLINDS	100   	9550104	1H7	1          	3O	  	1A21    	10A                 
10B         	03/22/1983	GL	STNSON	10    	8632106	1H7	1          	3O	  	A738    	10B                 
10BLKHEED   	03/22/1983	WP	LKHEED	10    	5261310	1L7	2          	3R	  	TC584   	ELECTRA10B          
10BSTNSON   	03/22/1983	GL	STNSON	10    	8632106	1H7	1          	3O	NC	A738    	10B                 
