Country,Year_Week,Cases,Y_M
Afghanistan,2009-1,NA,2009-1
Armenia,2009-1,NA,2009-1
Azerbaijan,2009-1,NA,2009-1
Bahrain,2009-1,NA,2009-1
Bangladesh,2009-1,NA,2009-1
Bhutan,2009-1,NA,2009-1
Cambodia,2009-1,0,2009-1
China,2009-1,0,2009-1
Georgia,2009-1,NA,2009-1
India,2009-1,0,2009-1
Indonesia,2009-1,NA,2009-1
Iran (Islamic Republic of),2009-1,0,2009-1
Iraq,2009-1,NA,2009-1
Israel,2009-1,0,2009-1
Japan,2009-1,0,2009-1
Jordan,2009-1,NA,2009-1
Kazakhstan,2009-1,0,2009-1
Kyrgyzstan,2009-1,0,2009-1
Lao People's Democratic Republic,2009-1,NA,2009-1
Malaysia,2009-1,0,2009-1
Mongolia,2009-1,0,2009-1
Nepal,2009-1,NA,2009-1
Oman,2009-1,NA,2009-1
Pakistan,2009-1,0,2009-1
Philippines,2009-1,0,2009-1
Qatar,2009-1,NA,2009-1
Republic of Korea,2009-1,0,2009-1
Singapore,2009-1,0,2009-1
Sri Lanka,2009-1,0,2009-1
Syrian Arab Republic,2009-1,NA,2009-1
Thailand,2009-1,0,2009-1
Turkey,2009-1,NA,2009-1
Viet Nam,2009-1,0,2009-1
Afghanistan,2009-2,NA,2009-1
Armenia,2009-2,NA,2009-1
Azerbaijan,2009-2,NA,2009-1
Bahrain,2009-2,NA,2009-1
Bangladesh,2009-2,NA,2009-1
Bhutan,2009-2,NA,2009-1
Cambodia,2009-2,0,2009-1
China,2009-2,0,2009-1
Georgia,2009-2,NA,2009-1
India,2009-2,0,2009-1
Indonesia,2009-2,NA,2009-1
Iran (Islamic Republic of),2009-2,0,2009-1
Iraq,2009-2,NA,2009-1
Israel,2009-2,0,2009-1
Japan,2009-2,0,2009-1
Jordan,2009-2,NA,2009-1
Kazakhstan,2009-2,0,2009-1
Kyrgyzstan,2009-2,0,2009-1
Lao People's Democratic Republic,2009-2,NA,2009-1
Malaysia,2009-2,0,2009-1
Mongolia,2009-2,0,2009-1
Nepal,2009-2,NA,2009-1
Oman,2009-2,NA,2009-1
Pakistan,2009-2,0,2009-1
Philippines,2009-2,0,2009-1
Qatar,2009-2,NA,2009-1
Republic of Korea,2009-2,0,2009-1
Singapore,2009-2,0,2009-1
Sri Lanka,2009-2,0,2009-1
Syrian Arab Republic,2009-2,NA,2009-1
Thailand,2009-2,0,2009-1
Turkey,2009-2,NA,2009-1
Viet Nam,2009-2,0,2009-1
Afghanistan,2009-3,NA,2009-1
Armenia,2009-3,NA,2009-1
Azerbaijan,2009-3,NA,2009-1
Bahrain,2009-3,NA,2009-1
Bangladesh,2009-3,NA,2009-1
Bhutan,2009-3,NA,2009-1
Cambodia,2009-3,0,2009-1
China,2009-3,0,2009-1
Georgia,2009-3,NA,2009-1
India,2009-3,0,2009-1
Indonesia,2009-3,NA,2009-1
Iran (Islamic Republic of),2009-3,0,2009-1
Iraq,2009-3,NA,2009-1
Israel,2009-3,0,2009-1
Japan,2009-3,0,2009-1
Jordan,2009-3,NA,2009-1
Kazakhstan,2009-3,0,2009-1
Kyrgyzstan,2009-3,0,2009-1
Lao People's Democratic Republic,2009-3,NA,2009-1
Malaysia,2009-3,0,2009-1
Mongolia,2009-3,0,2009-1
Nepal,2009-3,NA,2009-1
Oman,2009-3,NA,2009-1
Pakistan,2009-3,0,2009-1
Philippines,2009-3,0,2009-1
Qatar,2009-3,NA,2009-1
Republic of Korea,2009-3,0,2009-1
Singapore,2009-3,0,2009-1
Sri Lanka,2009-3,0,2009-1
Syrian Arab Republic,2009-3,NA,2009-1
Thailand,2009-3,0,2009-1
Turkey,2009-3,NA,2009-1
Viet Nam,2009-3,0,2009-1
Afghanistan,2009-4,NA,2009-1
Armenia,2009-4,NA,2009-1
Azerbaijan,2009-4,NA,2009-1
Bahrain,2009-4,NA,2009-1
Bangladesh,2009-4,NA,2009-1
Bhutan,2009-4,NA,2009-1
Cambodia,2009-4,0,2009-1
China,2009-4,0,2009-1
Georgia,2009-4,NA,2009-1
India,2009-4,0,2009-1
Indonesia,2009-4,NA,2009-1
Iran (Islamic Republic of),2009-4,0,2009-1
Iraq,2009-4,NA,2009-1
Israel,2009-4,0,2009-1
Japan,2009-4,0,2009-1
Jordan,2009-4,NA,2009-1
Kazakhstan,2009-4,0,2009-1
Kyrgyzstan,2009-4,0,2009-1
Lao People's Democratic Republic,2009-4,NA,2009-1
Malaysia,2009-4,0,2009-1
Mongolia,2009-4,0,2009-1
Nepal,2009-4,NA,2009-1
Oman,2009-4,NA,2009-1
Pakistan,2009-4,0,2009-1
Philippines,2009-4,0,2009-1
Qatar,2009-4,NA,2009-1
Republic of Korea,2009-4,0,2009-1
Singapore,2009-4,0,2009-1
Sri Lanka,2009-4,0,2009-1
Syrian Arab Republic,2009-4,NA,2009-1
Thailand,2009-4,0,2009-1
Turkey,2009-4,NA,2009-1
Viet Nam,2009-4,0,2009-1
Afghanistan,2009-5,NA,2009-2
Armenia,2009-5,NA,2009-2
Azerbaijan,2009-5,NA,2009-2
Bahrain,2009-5,NA,2009-2
Bangladesh,2009-5,NA,2009-2
Bhutan,2009-5,NA,2009-2
Cambodia,2009-5,0,2009-2
China,2009-5,0,2009-2
Georgia,2009-5,NA,2009-2
India,2009-5,0,2009-2
Indonesia,2009-5,NA,2009-2
Iran (Islamic Republic of),2009-5,0,2009-2
Iraq,2009-5,NA,2009-2
Israel,2009-5,0,2009-2
Japan,2009-5,0,2009-2
Jordan,2009-5,NA,2009-2
Kazakhstan,2009-5,0,2009-2
Kyrgyzstan,2009-5,0,2009-2
Lao People's Democratic Republic,2009-5,NA,2009-2
Malaysia,2009-5,0,2009-2
Mongolia,2009-5,0,2009-2
Nepal,2009-5,NA,2009-2
Oman,2009-5,NA,2009-2
Pakistan,2009-5,0,2009-2
Philippines,2009-5,0,2009-2
Qatar,2009-5,NA,2009-2
Republic of Korea,2009-5,0,2009-2
Singapore,2009-5,0,2009-2
Sri Lanka,2009-5,0,2009-2
Syrian Arab Republic,2009-5,NA,2009-2
Thailand,2009-5,0,2009-2
Turkey,2009-5,NA,2009-2
Viet Nam,2009-5,NA,2009-2
Afghanistan,2009-6,NA,2009-2
Armenia,2009-6,NA,2009-2
Azerbaijan,2009-6,NA,2009-2
Bahrain,2009-6,NA,2009-2
Bangladesh,2009-6,NA,2009-2
Bhutan,2009-6,NA,2009-2
Cambodia,2009-6,0,2009-2
China,2009-6,0,2009-2
Georgia,2009-6,NA,2009-2
India,2009-6,0,2009-2
Indonesia,2009-6,NA,2009-2
Iran (Islamic Republic of),2009-6,0,2009-2
Iraq,2009-6,NA,2009-2
Israel,2009-6,0,2009-2
Japan,2009-6,0,2009-2
Jordan,2009-6,NA,2009-2
Kazakhstan,2009-6,0,2009-2
Kyrgyzstan,2009-6,0,2009-2
Lao People's Democratic Republic,2009-6,NA,2009-2
Malaysia,2009-6,0,2009-2
Mongolia,2009-6,0,2009-2
Nepal,2009-6,NA,2009-2
Oman,2009-6,NA,2009-2
Pakistan,2009-6,0,2009-2
Philippines,2009-6,0,2009-2
Qatar,2009-6,NA,2009-2
