年份(Years),月份(Months),亞洲總計(Asia Total),香港(Hong Kong),中國大陸(Mainland China),澳門(Macao),日本(Japan),韓國(Korea),印度(India),越南(Vietnam),泰國(Thailand),馬來西亞(Malaysia),新加坡(Singapore),菲律賓(Philippines),汶萊(Brunei),印尼(Indonesia),柬埔寨(Cambodia),寮國(Laos),緬甸(Myanmar),斯里蘭卡(Sri Lanka),不丹(Bhutan),尼泊爾(Nepal),孟加拉(Bangladesh),巴基斯坦(Pakistan),蒙古(Mongolia),東帝汶(Timor),索羅門群島(Solomon Islands),馬爾地夫(Maldives),賽席爾(Seychelles),吉里巴斯(Kiribati),伊朗(Iran),伊拉克(Iraq),沙烏地阿拉伯(Saudi Arabia),科威特(Kuwait),以色列(Israel),約旦(Jordan),敘利亞(Syria),黎巴嫩(Lebanon),阿拉伯聯合大公國(United Arab Emirates),葉門(Yemen),土耳其(Turkey),賽普勒斯(Cyprus),阿富汗(Afghanistan),美洲總計(Americas Total),美國(United States of America),加拿大(Canada),墨西哥(Mexico),巴西(Brazil),阿根廷(Argentina),巴拿馬(Panama),哥斯大黎加(Costa Rica),多明尼加(Dominican Rep.),瓜地馬拉(Guatemala),宏都拉斯(Honduras),海地(Haiti),尼加拉瓜(Nicaragua),薩爾瓦多(El Salvador),貝里斯(Belize),聖露西亞(Saint Lucia),智利(Chile),委內瑞拉(Venezuela),玻利維亞(Bolivia),哥倫比亞(Colombia),厄瓜多爾(Ecuador),圭亞馬(Guaymas),巴拉圭(Paraguay),秘魯(Peru),烏拉圭(Uruguay), 歐洲總計(Europe Total),比利時(Belgium),法國(France),德國(Germany),義大利(Italy),荷蘭(Netherlands),英國(U.K.),西班牙(Spain),瑞典(Sweden),瑞士(Switzerland),奧地利(Austria),希臘(Greece),俄羅斯(Russian Federation),挪威(Norway),丹麥(Denmark),愛爾蘭(Ireland),冰島(Iceland),葡萄牙(Portugal),芬蘭(Finland),烏克蘭(Ukraine),克羅埃西亞(Croatia),愛沙尼亞(Estonia),立陶宛(Lithuania),拉脫維亞(Lativia),斯洛凡尼亞(Slovenia),斯洛伐克(Slovakia),波蘭(Poland),捷克(Czech),匈牙利(Hungary),羅馬尼亞(Romania),保加利亞(Bulgaria),大洋洲總計(Oceania Total),澳大利亞(Australia),紐西蘭(New Zealand),斐濟(Fiji),諾魯(Nauru),帛琉(Palau),馬紹爾(Marshall),非洲總計(Africa Total),南非(S. Africa),埃及(Egypt),摩洛哥(Morocco),阿爾及利亞(Algeria),突尼西亞(Tunisia),肯亞(Kenya),奈及利亞(Nigeria),模里西斯(Mauritius),史瓦濟蘭(Swaziland),小計(Subtotals),總計(Totals)
97 (2008),1,"548,240","216,776",374,"69,871","104,753","42,596","1,705","22,308","26,653","13,570","16,645","9,111",88,"15,714","6,049",0,"1,497",0,2,0,0,0,0,1,0,0,0,0,359,0,0,6,95,0,0,0,3,0,0,0,60,"60,422","54,700","5,722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,383",0,0,"2,390","1,264","8,119","3,385",0,0,0,"2,225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,386","6,824","2,394",0,0,"2,168",0,0,0,0,0,0,0,0,0,0,0,"1,274,858","662,847"
97 (2008),2,"665,104","259,884","14,537","95,056","110,058","43,280","1,909","28,883","32,886","16,044","17,901","12,293",365,"20,411","8,582",0,"1,142",0,"1,539",0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,1,0,157,0,13,"46,218","41,918","4,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"19,688",0,335,"3,783","1,175","8,171","3,716",0,0,0,"2,501",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,020","7,241","2,026",0,0,"2,753",0,0,0,0,0,0,0,0,0,0,0,"1,486,059","776,687"
97 (2008),3,"559,507","228,301",0,"85,057","92,266","35,240","1,341","25,733","31,086","12,951","12,955","8,301",0,"16,776","7,572",0,"1,312",0,102,0,0,0,0,76,0,0,0,0,0,65,0,3,215,0,0,0,1,0,0,6,148,"48,615","43,628","4,987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,875",0,0,"3,367","1,123","8,087","3,190",0,0,0,"3,108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,091","5,329","1,023",0,0,"1,739",0,38,38,0,0,0,0,0,0,0,0,"1,270,252","663,305"
97 (2008),4,"647,556","258,031","2,370","99,568","129,430","37,234","1,212","26,861","33,977","12,674","12,951","8,658",0,"15,493","6,342",68,"1,437",93,713,0,0,0,0,45,0,0,0,0,0,0,1,7,349,0,0,0,1,0,41,0,0,"52,624","46,065","6,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"20,119",0,0,"2,784","1,284","9,391","3,666",0,0,0,"2,994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,495","5,124","1,401",0,0,"1,970",0,0,0,0,0,0,0,0,0,0,0,"1,457,588","769,832"
97 (2008),5,"611,833","255,719",37,"85,157","124,440","27,733",850,"28,226","33,896","13,087","12,414","8,649",1,"16,737","4,122",61,536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,149,0,0,0,1,0,0,0,0,"50,868","45,119","5,749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"21,652",0,0,"3,378","1,355","9,622","3,308",0,0,0,"3,988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,157","5,073","1,362",0,0,722,0,0,0,0,0,0,0,0,0,0,0,"1,383,019","733,000"
97 (2008),6,"598,194","251,685","2,999","78,382","119,692","25,349",774,"25,107","33,497","16,055","13,426","10,142",150,"17,132","2,656",63,383,0,529,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,166,"56,485","49,530","6,955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"21,257",0,0,"2,581","1,764","11,033","2,636",0,0,0,"3,243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,830","5,265",650,0,0,915,0,0,0,0,0,0,0,0,0,0,0,"1,365,532","726,563"
97 (2008),7,"684,286","274,405","21,949","77,167","143,940","31,254","1,192","26,275","37,572","17,081","19,205","12,942",168,"17,045","2,292",130,780,0,149,0,0,0,0,403,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,311,"59,041","52,247","6,794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"22,311",0,0,"3,322","1,288","10,197","4,155",0,0,0,"3,323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,017","5,614","1,131",0,0,"1,272",0,0,0,0,0,0,0,0,0,0,0,"1,547,284","838,607"
97 (2008),8,"605,077","250,006","28,335","73,604","110,875","24,702","1,154","21,563","32,195","16,624","15,155","11,068",0,"14,528","3,009",528,745,0,547,0,0,0,0,1,0,0,0,0,0,433,0,4,0,0,0,0,1,0,0,0,0,"58,305","50,293","8,012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"18,850",0,0,"3,349",954,"8,215","3,599",0,0,169,"2,564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,420","4,310",745,0,0,"1,365",0,0,0,0,0,0,0,0,0,0,0,"1,377,304","761,432"
97 (2008),9,"522,627","220,795","25,663","65,419","93,112","19,618","1,419","19,886","25,035","11,200","12,156","8,940",63,"14,874","2,472",365,460,0,342,0,0,0,0,383,0,0,0,0,0,190,0,5,0,0,0,0,1,0,0,94,135,"45,345","39,703","5,642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"22,020",0,0,"4,457","1,286","9,405","3,691",0,0,0,"3,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,332","4,796",0,0,0,536,0,2,0,0,0,0,0,0,2,0,0,"1,190,651","657,988"
97 (2008),10,"590,938","253,255","26,310","75,957","117,002","25,598",916,"19,975","20,084","10,532","12,615","9,594",306,"14,596","2,284",255,725,0,605,0,0,0,0,32,0,0,0,0,0,40,0,7,4,0,0,141,1,0,0,0,105,"37,194","33,123","4,071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"17,834",0,107,"3,610","1,133","6,740","2,825",0,0,0,"3,419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,524","5,529",0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,"1,304,953","732,191"
