T_Y,Y_M,Country,Cases
97,2008-1,亞洲總計(Asia Total),548240
97,2008-2,亞洲總計(Asia Total),665104
97,2008-3,亞洲總計(Asia Total),559507
97,2008-4,亞洲總計(Asia Total),647556
97,2008-5,亞洲總計(Asia Total),611833
97,2008-6,亞洲總計(Asia Total),598194
97,2008-7,亞洲總計(Asia Total),684286
97,2008-8,亞洲總計(Asia Total),605077
97,2008-9,亞洲總計(Asia Total),522627
97,2008-10,亞洲總計(Asia Total),590938
97,2008-11,亞洲總計(Asia Total),475881
97,2008-12,亞洲總計(Asia Total),463800
98,2009-1,亞洲總計(Asia Total),548279
98,2009-2,亞洲總計(Asia Total),519826
98,2009-3,亞洲總計(Asia Total),513741
98,2009-4,亞洲總計(Asia Total),624813
98,2009-5,亞洲總計(Asia Total),569612
98,2009-6,亞洲總計(Asia Total),526410
98,2009-7,亞洲總計(Asia Total),718207
98,2009-8,亞洲總計(Asia Total),736121
98,2009-9,亞洲總計(Asia Total),552429
98,2009-10,亞洲總計(Asia Total),673435
98,2009-11,亞洲總計(Asia Total),598386
98,2009-12,亞洲總計(Asia Total),598172
99,2010-1,亞洲總計(Asia Total),646818
99,2010-2,亞洲總計(Asia Total),754800
99,2010-3,亞洲總計(Asia Total),651289
99,2010-4,亞洲總計(Asia Total),683094
99,2010-5,亞洲總計(Asia Total),704776
99,2010-6,亞洲總計(Asia Total),735845
99,2010-7,亞洲總計(Asia Total),902724
99,2010-8,亞洲總計(Asia Total),809514
99,2010-9,亞洲總計(Asia Total),726845
99,2010-10,亞洲總計(Asia Total),746365
99,2010-11,亞洲總計(Asia Total),642149
99,2010-12,亞洲總計(Asia Total),638458
100,2011-1,亞洲總計(Asia Total),628836
100,2011-2,亞洲總計(Asia Total),746318
100,2011-3,亞洲總計(Asia Total),606326
100,2011-4,亞洲總計(Asia Total),690567
100,2011-5,亞洲總計(Asia Total),736192
100,2011-6,亞洲總計(Asia Total),804014
100,2011-7,亞洲總計(Asia Total),933756
100,2011-8,亞洲總計(Asia Total),825270
100,2011-9,亞洲總計(Asia Total),745564
100,2011-10,亞洲總計(Asia Total),778938
100,2011-11,亞洲總計(Asia Total),655117
100,2011-12,亞洲總計(Asia Total),611316
101,2012-1,亞洲總計(Asia Total),805418
101,2012-2,亞洲總計(Asia Total),711348
101,2012-3,亞洲總計(Asia Total),659089
101,2012-4,亞洲總計(Asia Total),782368
101,2012-5,亞洲總計(Asia Total),774744
101,2012-6,亞洲總計(Asia Total),817506
101,2012-7,亞洲總計(Asia Total),941943
101,2012-8,亞洲總計(Asia Total),842583
101,2012-9,亞洲總計(Asia Total),744064
101,2012-10,亞洲總計(Asia Total),843869
101,2012-11,亞洲總計(Asia Total),731147
101,2012-12,亞洲總計(Asia Total),713518
102,2013-1,亞洲總計(Asia Total),704042
102,2013-2,亞洲總計(Asia Total),914067
102,2013-3,亞洲總計(Asia Total),770918
102,2013-4,亞洲總計(Asia Total),850233
102,2013-5,亞洲總計(Asia Total),799738
102,2013-6,亞洲總計(Asia Total),934271
102,2013-7,亞洲總計(Asia Total),1017208
102,2013-8,亞洲總計(Asia Total),955905
102,2013-9,亞洲總計(Asia Total),914652
102,2013-10,亞洲總計(Asia Total),952631
102,2013-11,亞洲總計(Asia Total),815172
102,2013-12,亞洲總計(Asia Total),760100
103,2014-1,亞洲總計(Asia Total),791492
103,2014-2,亞洲總計(Asia Total),906483
103,2014-3,亞洲總計(Asia Total),820385
103,2014-4,亞洲總計(Asia Total),930624
103,2014-5,亞洲總計(Asia Total),982395
103,2014-6,亞洲總計(Asia Total),1014064
103,2014-7,亞洲總計(Asia Total),1085808
103,2014-8,亞洲總計(Asia Total),989696
103,2014-9,亞洲總計(Asia Total),897568
103,2014-10,亞洲總計(Asia Total),990199
103,2014-11,亞洲總計(Asia Total),833452
103,2014-12,亞洲總計(Asia Total),853498
104,2015-1,亞洲總計(Asia Total),857718
104,2015-2,亞洲總計(Asia Total),950739
104,2015-3,亞洲總計(Asia Total),1010951
104,2015-4,亞洲總計(Asia Total),1076810
104,2015-5,亞洲總計(Asia Total),1083466
104,2015-6,亞洲總計(Asia Total),1090220
104,2015-7,亞洲總計(Asia Total),1175786
104,2015-8,亞洲總計(Asia Total),1080572
104,2015-9,亞洲總計(Asia Total),998619
104,2015-10,亞洲總計(Asia Total),1115273
104,2015-11,亞洲總計(Asia Total),986063
104,2015-12,亞洲總計(Asia Total),927071
105,2016-1,亞洲總計(Asia Total),1009041
105,2016-2,亞洲總計(Asia Total),1162395
105,2016-3,亞洲總計(Asia Total),1029041
105,2016-4,亞洲總計(Asia Total),1171951
105,2016-5,亞洲總計(Asia Total),1158372
105,2016-6,亞洲總計(Asia Total),1275594
105,2016-7,亞洲總計(Asia Total),1292011
105,2016-8,亞洲總計(Asia Total),1161500
105,2016-9,亞洲總計(Asia Total),1130100
105,2016-10,亞洲總計(Asia Total),1139336
105,2016-11,亞洲總計(Asia Total),1020381
105,2016-12,亞洲總計(Asia Total),989345
106,2017-1,亞洲總計(Asia Total),1039805
106,2017-2,亞洲總計(Asia Total),1187260
106,2017-3,亞洲總計(Asia Total),1108668
106,2017-4,亞洲總計(Asia Total),1217543
106,2017-5,亞洲總計(Asia Total),1237914
106,2017-6,亞洲總計(Asia Total),1272308
106,2017-7,亞洲總計(Asia Total),1355325
106,2017-8,亞洲總計(Asia Total),1241730
106,2017-9,亞洲總計(Asia Total),1095079
106,2017-10,亞洲總計(Asia Total),1285049
97,2008-1,香港(Hong Kong),216776
97,2008-2,香港(Hong Kong),259884
97,2008-3,香港(Hong Kong),228301
