year,country,count,iso_a3
1980,巴西,285,BRA
1980,日本,173581,JPN
1980,比利時,138,BEL
1980,加拿大,1548,CAN
1980,印尼,4507,IDN
1980,印度,87,IND
1980,西班牙,246,ESP
1980,奈及利亞,177,NGA
1980,法國,586,FRA
1980,阿根廷,339,ARG
1980,南非,946,ZAF
1980,美國,69448,USA
1980,英國,898,GBR
1980,香港,63812,HKG
1980,泰國,14956,THA
1980,紐西蘭,75,NZL
1980,馬來西亞,4418,MYS
1980,荷蘭,206,NLD
1980,菲律賓,35718,PHL
1980,新加坡,19563,SGP
1980,瑞士,207,CHE
1980,義大利,461,ITA
1980,德國,1239,DEU
1980,澳大利亞,999,AUS
1980,韓國,76995,KOR
1981,巴西,251,BRA
1981,日本,218486,JPN
1981,比利時,183,BEL
1981,加拿大,1741,CAN
1981,印尼,5694,IDN
1981,印度,128,IND
1981,西班牙,367,ESP
1981,奈及利亞,239,NGA
1981,法國,877,FRA
1981,阿根廷,719,ARG
1981,南非,2186,ZAF
1981,美國,76399,USA
1981,英國,1499,GBR
1981,香港,72418,HKG
1981,泰國,15919,THA
1981,紐西蘭,123,NZL
1981,馬來西亞,5035,MYS
1981,荷蘭,264,NLD
1981,菲律賓,35170,PHL
1981,新加坡,20251,SGP
1981,瑞士,321,CHE
1981,義大利,683,ITA
1981,德國,1345,DEU
1981,澳大利亞,1368,AUS
1981,韓國,98241,KOR
1982,巴西,394,BRA
1982,日本,260414,JPN
1982,比利時,193,BEL
1982,加拿大,2046,CAN
1982,印尼,6985,IDN
1982,印度,125,IND
1982,西班牙,294,ESP
1982,奈及利亞,267,NGA
1982,法國,1427,FRA
1982,阿根廷,653,ARG
1982,南非,2441,ZAF
1982,美國,98995,USA
1982,英國,1261,GBR
1982,香港,81558,HKG
1982,泰國,21726,THA
1982,紐西蘭,182,NZL
1982,馬來西亞,8996,MYS
1982,荷蘭,297,NLD
1982,菲律賓,42274,PHL
1982,新加坡,24124,SGP
1982,瑞士,325,CHE
1982,義大利,974,ITA
1982,德國,1275,DEU
1982,澳大利亞,1041,AUS
1982,韓國,67002,KOR
1983,巴西,462,BRA
1983,日本,256102,JPN
1983,比利時,258,BEL
1983,加拿大,2159,CAN
1983,印尼,7693,IDN
1983,印度,91,IND
1983,西班牙,300,ESP
1983,奈及利亞,153,NGA
1983,法國,1034,FRA
1983,阿根廷,902,ARG
1983,南非,2458,ZAF
1983,美國,110148,USA
1983,英國,1843,GBR
1983,香港,98754,HKG
1983,泰國,23631,THA
1983,紐西蘭,114,NZL
1983,馬來西亞,10320,MYS
1983,荷蘭,1735,NLD
1983,菲律賓,37375,PHL
1983,新加坡,25656,SGP
1983,瑞士,336,CHE
1983,義大利,770,ITA
1983,德國,1230,DEU
