Y_M,Country,Cases,YMD
2009-1,Afghanistan,0,2009-01-01
2009-1,Albania,0,2009-01-01
2009-1,Algeria,0,2009-01-01
2009-1,Angola,0,2009-01-01
2009-1,Argentina,0,2009-01-01
2009-1,Armenia,0,2009-01-01
2009-1,Australia,0,2009-01-01
2009-1,Austria,0,2009-01-01
2009-1,Azerbaijan,0,2009-01-01
2009-1,Bangladesh,0,2009-01-01
2009-1,Belarus,0,2009-01-01
2009-1,Belgium,0,2009-01-01
2009-1,Bolivia,0,2009-01-01
2009-1,Bosnia and Herzegovina,0,2009-01-01
2009-1,Brazil,0,2009-01-01
2009-1,Bulgaria,0,2009-01-01
2009-1,Burkina Faso,0,2009-01-01
2009-1,C�te d'Ivoire,0,2009-01-01
2009-1,Cambodia,0,2009-01-01
2009-1,Cameroon,0,2009-01-01
2009-1,Canada,0,2009-01-01
2009-1,Cape Verde,0,2009-01-01
2009-1,Central African Republic,0,2009-01-01
2009-1,Chile,0,2009-01-01
2009-1,China,0,2009-01-01
2009-1,Colombia,0,2009-01-01
2009-1,Costa Rica,0,2009-01-01
2009-1,Croatia,0,2009-01-01
2009-1,Cuba,0,2009-01-01
2009-1,Czech Republic,0,2009-01-01
2009-1,Democratic Republic of the Congo,0,2009-01-01
2009-1,Denmark,0,2009-01-01
2009-1,Dominican Republic,0,2009-01-01
2009-1,Ecuador,0,2009-01-01
2009-1,Egypt,0,2009-01-01
2009-1,El Salvador,0,2009-01-01
2009-1,Estonia,0,2009-01-01
2009-1,Ethiopia,0,2009-01-01
2009-1,Fiji,0,2009-01-01
2009-1,Finland,0,2009-01-01
2009-1,France,0,2009-01-01
2009-1,French Guiana,0,2009-01-01
2009-1,Gambia,0,2009-01-01
2009-1,Georgia,0,2009-01-01
2009-1,Germany,0,2009-01-01
2009-1,Ghana,0,2009-01-01
2009-1,Greece,0,2009-01-01
2009-1,Guadeloupe,0,2009-01-01
2009-1,Guatemala,0,2009-01-01
2009-1,Guinea,0,2009-01-01
2009-1,Guinea-Bissau,0,2009-01-01
2009-1,Honduras,0,2009-01-01
2009-1,Hungary,0,2009-01-01
2009-1,Iceland,0,2009-01-01
2009-1,India,0,2009-01-01
2009-1,Indonesia,0,2009-01-01
2009-1,Iran (Islamic Republic of),0,2009-01-01
2009-1,Iraq,0,2009-01-01
2009-1,Ireland,0,2009-01-01
2009-1,Israel,0,2009-01-01
2009-1,Italy,0,2009-01-01
2009-1,Jamaica,0,2009-01-01
2009-1,Japan,0,2009-01-01
2009-1,Jordan,0,2009-01-01
2009-1,Kazakhstan,0,2009-01-01
2009-1,Kenya,0,2009-01-01
2009-1,Kyrgyzstan,0,2009-01-01
2009-1,Lao People's Democratic Republic,0,2009-01-01
2009-1,Latvia,0,2009-01-01
2009-1,Lithuania,0,2009-01-01
2009-1,Luxembourg,0,2009-01-01
2009-1,Madagascar,0,2009-01-01
2009-1,Malaysia,0,2009-01-01
2009-1,Mali,0,2009-01-01
2009-1,Malta,0,2009-01-01
2009-1,Martinique,0,2009-01-01
2009-1,Mauritania,0,2009-01-01
2009-1,Mauritius,0,2009-01-01
2009-1,Mexico,0,2009-01-01
2009-1,Mongolia,0,2009-01-01
2009-1,Morocco,0,2009-01-01
2009-1,Mozambique,0,2009-01-01
2009-1,Netherlands,0,2009-01-01
2009-1,New Caledonia,0,2009-01-01
2009-1,New Zealand,0,2009-01-01
2009-1,Nicaragua,0,2009-01-01
2009-1,Niger,0,2009-01-01
2009-1,Nigeria,0,2009-01-01
2009-1,Norway,0,2009-01-01
2009-1,Oman,0,2009-01-01
2009-1,Pakistan,0,2009-01-01
2009-1,Panama,0,2009-01-01
2009-1,Paraguay,0,2009-01-01
2009-1,Peru,0,2009-01-01
2009-1,Philippines,0,2009-01-01
2009-1,Poland,0,2009-01-01
2009-1,Portugal,0,2009-01-01
2009-1,Republic of Korea,0,2009-01-01
2009-1,Republic of Moldova,0,2009-01-01
2009-1,Romania,0,2009-01-01
2009-1,Russian Federation,0,2009-01-01
2009-1,Rwanda,0,2009-01-01
2009-1,Senegal,0,2009-01-01
2009-1,Serbia,0,2009-01-01
2009-1,Sierra Leone,0,2009-01-01
2009-1,Singapore,0,2009-01-01
2009-1,Slovakia,0,2009-01-01
2009-1,Slovenia,0,2009-01-01
2009-1,South Africa,0,2009-01-01
2009-1,Spain,0,2009-01-01
2009-1,Sri Lanka,0,2009-01-01
2009-1,Sudan,0,2009-01-01
2009-1,Suriname,0,2009-01-01
2009-1,Sweden,0,2009-01-01
2009-1,Switzerland,0,2009-01-01
2009-1,Thailand,0,2009-01-01
2009-1,The former Yugoslav Republic of Macedonia,0,2009-01-01
2009-1,Togo,0,2009-01-01
2009-1,Tunisia,0,2009-01-01
2009-1,Turkey,0,2009-01-01
2009-1,Uganda,0,2009-01-01
2009-1,Ukraine,0,2009-01-01
2009-1,United Kingdom of Great Britain and Northern Ireland,0,2009-01-01
2009-1,United Republic of Tanzania,0,2009-01-01
2009-1,United States of America,0,2009-01-01
2009-1,Uruguay,0,2009-01-01
2009-1,Viet Nam,0,2009-01-01
2009-1,Zambia,0,2009-01-01
2009-10,Afghanistan,54,2009-10-01
2009-10,Albania,0,2009-10-01
2009-10,Algeria,18,2009-10-01
2009-10,Angola,0,2009-10-01
2009-10,Argentina,20,2009-10-01
2009-10,Armenia,0,2009-10-01
2009-10,Australia,40,2009-10-01
2009-10,Austria,0,2009-10-01
2009-10,Azerbaijan,0,2009-10-01
2009-10,Bangladesh,0,2009-10-01
2009-10,Belarus,0,2009-10-01
2009-10,Belgium,594,2009-10-01
2009-10,Bolivia,0,2009-10-01
2009-10,Bosnia and Herzegovina,0,2009-10-01
2009-10,Brazil,171,2009-10-01
2009-10,Bulgaria,88,2009-10-01
2009-10,Burkina Faso,0,2009-10-01
2009-10,C�te d'Ivoire,1,2009-10-01
2009-10,Cambodia,144,2009-10-01
2009-10,Cameroon,0,2009-10-01
2009-10,Canada,483,2009-10-01
2009-10,Cape Verde,15,2009-10-01
2009-10,Central African Republic,0,2009-10-01
2009-10,Chile,6,2009-10-01
2009-10,China,0,2009-10-01
2009-10,Colombia,231,2009-10-01
2009-10,Costa Rica,0,2009-10-01
2009-10,Croatia,42,2009-10-01
2009-10,Cuba,273,2009-10-01
2009-10,Czech Republic,26,2009-10-01
2009-10,Democratic Republic of the Congo,0,2009-10-01
2009-10,Denmark,116,2009-10-01
2009-10,Dominican Republic,0,2009-10-01
2009-10,Ecuador,0,2009-10-01
2009-10,Egypt,186,2009-10-01
2009-10,El Salvador,38,2009-10-01
2009-10,Estonia,2,2009-10-01
2009-10,Ethiopia,0,2009-10-01
2009-10,Fiji,0,2009-10-01
2009-10,Finland,62,2009-10-01
2009-10,France,1355,2009-10-01
2009-10,French Guiana,48,2009-10-01
2009-10,Gambia,0,2009-10-01
2009-10,Georgia,5,2009-10-01
2009-10,Germany,63,2009-10-01
2009-10,Ghana,1,2009-10-01
2009-10,Greece,170,2009-10-01
2009-10,Guadeloupe,136,2009-10-01
2009-10,Guatemala,14,2009-10-01
2009-10,Guinea,0,2009-10-01
2009-10,Guinea-Bissau,0,2009-10-01
2009-10,Honduras,34,2009-10-01
2009-10,Hungary,60,2009-10-01
2009-10,Iceland,0,2009-10-01
2009-10,India,651,2009-10-01
2009-10,Indonesia,0,2009-10-01
2009-10,Iran (Islamic Republic of),1199,2009-10-01
2009-10,Iraq,389,2009-10-01
2009-10,Ireland,1451,2009-10-01
2009-10,Israel,637,2009-10-01
2009-10,Italy,687,2009-10-01
2009-10,Jamaica,37,2009-10-01
2009-10,Japan,1751,2009-10-01
2009-10,Jordan,0,2009-10-01
2009-10,Kazakhstan,0,2009-10-01
2009-10,Kenya,264,2009-10-01
2009-10,Kyrgyzstan,1,2009-10-01
2009-10,Lao People's Democratic Republic,0,2009-10-01
2009-10,Latvia,2,2009-10-01
2009-10,Lithuania,4,2009-10-01
2009-10,Luxembourg,304,2009-10-01
2009-10,Madagascar,232,2009-10-01
2009-10,Malaysia,14,2009-10-01
2009-10,Mali,0,2009-10-01
2009-10,Malta,24,2009-10-01
2009-10,Martinique,0,2009-10-01
2009-10,Mauritania,0,2009-10-01
2009-10,Mauritius,0,2009-10-01
2009-10,Mexico,0,2009-10-01
2009-10,Mongolia,491,2009-10-01
2009-10,Morocco,55,2009-10-01
2009-10,Mozambique,0,2009-10-01
2009-10,Netherlands,296,2009-10-01
2009-10,New Caledonia,0,2009-10-01
2009-10,New Zealand,3,2009-10-01
2009-10,Nicaragua,0,2009-10-01
2009-10,Niger,0,2009-10-01
2009-10,Nigeria,0,2009-10-01
2009-10,Norway,878,2009-10-01
2009-10,Oman,0,2009-10-01
2009-10,Pakistan,2,2009-10-01
2009-10,Panama,0,2009-10-01
2009-10,Paraguay,1,2009-10-01
2009-10,Peru,0,2009-10-01
2009-10,Philippines,3,2009-10-01
2009-10,Poland,7,2009-10-01
2009-10,Portugal,0,2009-10-01
2009-10,Republic of Korea,764,2009-10-01
2009-10,Republic of Moldova,2,2009-10-01
2009-10,Romania,42,2009-10-01
2009-10,Russian Federation,952,2009-10-01
2009-10,Rwanda,0,2009-10-01
2009-10,Senegal,0,2009-10-01
2009-10,Serbia,2,2009-10-01
2009-10,Sierra Leone,0,2009-10-01
2009-10,Singapore,2,2009-10-01
2009-10,Slovakia,12,2009-10-01
2009-10,Slovenia,23,2009-10-01
2009-10,South Africa,11,2009-10-01
2009-10,Spain,1513,2009-10-01
2009-10,Sri Lanka,70,2009-10-01
2009-10,Sudan,1,2009-10-01
2009-10,Suriname,0,2009-10-01
2009-10,Sweden,852,2009-10-01
2009-10,Switzerland,18,2009-10-01
2009-10,Thailand,81,2009-10-01
2009-10,The former Yugoslav Republic of Macedonia,0,2009-10-01
2009-10,Togo,0,2009-10-01
2009-10,Tunisia,27,2009-10-01
2009-10,Turkey,612,2009-10-01
2009-10,Uganda,123,2009-10-01
2009-10,Ukraine,0,2009-10-01
2009-10,United Kingdom of Great Britain and Northern Ireland,793,2009-10-01
2009-10,United Republic of Tanzania,317,2009-10-01
2009-10,United States of America,0,2009-10-01
2009-10,Uruguay,0,2009-10-01
2009-10,Viet Nam,185,2009-10-01
2009-10,Zambia,0,2009-10-01
2009-11,Afghanistan,55,2009-11-01
2009-11,Albania,0,2009-11-01
2009-11,Algeria,193,2009-11-01
2009-11,Angola,0,2009-11-01
2009-11,Argentina,22,2009-11-01
2009-11,Armenia,0,2009-11-01
2009-11,Australia,20,2009-11-01
2009-11,Austria,0,2009-11-01
2009-11,Azerbaijan,0,2009-11-01
2009-11,Bangladesh,0,2009-11-01
2009-11,Belarus,0,2009-11-01
2009-11,Belgium,539,2009-11-01
2009-11,Bolivia,0,2009-11-01
2009-11,Bosnia and Herzegovina,0,2009-11-01
2009-11,Brazil,130,2009-11-01
2009-11,Bulgaria,589,2009-11-01
2009-11,Burkina Faso,0,2009-11-01
2009-11,C�te d'Ivoire,0,2009-11-01
2009-11,Cambodia,95,2009-11-01
2009-11,Cameroon,0,2009-11-01
2009-11,Canada,0,2009-11-01
2009-11,Cape Verde,31,2009-11-01
2009-11,Central African Republic,0,2009-11-01
2009-11,Chile,19,2009-11-01
2009-11,China,0,2009-11-01
2009-11,Colombia,173,2009-11-01
2009-11,Costa Rica,0,2009-11-01
2009-11,Croatia,918,2009-11-01
2009-11,Cuba,112,2009-11-01
2009-11,Czech Republic,495,2009-11-01
2009-11,Democratic Republic of the Congo,0,2009-11-01
2009-11,Denmark,1211,2009-11-01
2009-11,Dominican Republic,0,2009-11-01
2009-11,Ecuador,0,2009-11-01
2009-11,Egypt,2086,2009-11-01
2009-11,El Salvador,7,2009-11-01
2009-11,Estonia,312,2009-11-01
2009-11,Ethiopia,0,2009-11-01
2009-11,Fiji,0,2009-11-01
2009-11,Finland,243,2009-11-01
2009-11,France,0,2009-11-01
2009-11,French Guiana,25,2009-11-01
2009-11,Gambia,0,2009-11-01
2009-11,Georgia,184,2009-11-01
2009-11,Germany,790,2009-11-01
2009-11,Ghana,37,2009-11-01
2009-11,Greece,966,2009-11-01
2009-11,Guadeloupe,72,2009-11-01
2009-11,Guatemala,18,2009-11-01
2009-11,Guinea,0,2009-11-01
2009-11,Guinea-Bissau,0,2009-11-01
2009-11,Honduras,25,2009-11-01
2009-11,Hungary,647,2009-11-01
2009-11,Iceland,0,2009-11-01
2009-11,India,458,2009-11-01
2009-11,Indonesia,0,2009-11-01
2009-11,Iran (Islamic Republic of),2298,2009-11-01
2009-11,Iraq,1249,2009-11-01
2009-11,Ireland,1338,2009-11-01
