Y_M,Country,Cases,YMD
2009-1,Afghanistan,0,2009-01-01
2009-1,Armenia,0,2009-01-01
2009-1,Azerbaijan,0,2009-01-01
2009-1,Bahrain,0,2009-01-01
2009-1,Bangladesh,0,2009-01-01
2009-1,Bhutan,0,2009-01-01
2009-1,Cambodia,0,2009-01-01
2009-1,China,0,2009-01-01
2009-1,Georgia,0,2009-01-01
2009-1,India,0,2009-01-01
2009-1,Indonesia,0,2009-01-01
2009-1,Iran (Islamic Republic of),0,2009-01-01
2009-1,Iraq,0,2009-01-01
2009-1,Israel,0,2009-01-01
2009-1,Japan,0,2009-01-01
2009-1,Jordan,0,2009-01-01
2009-1,Kazakhstan,0,2009-01-01
2009-1,Kyrgyzstan,0,2009-01-01
2009-1,Lao People's Democratic Republic,0,2009-01-01
2009-1,Malaysia,0,2009-01-01
2009-1,Mongolia,0,2009-01-01
2009-1,Nepal,0,2009-01-01
2009-1,Oman,0,2009-01-01
2009-1,Pakistan,0,2009-01-01
2009-1,Philippines,0,2009-01-01
2009-1,Qatar,0,2009-01-01
2009-1,Republic of Korea,0,2009-01-01
2009-1,Singapore,0,2009-01-01
2009-1,Sri Lanka,0,2009-01-01
2009-1,Syrian Arab Republic,0,2009-01-01
2009-1,Thailand,0,2009-01-01
2009-1,Turkey,0,2009-01-01
2009-1,Viet Nam,0,2009-01-01
2009-10,Afghanistan,54,2009-10-01
2009-10,Armenia,0,2009-10-01
2009-10,Azerbaijan,0,2009-10-01
2009-10,Bahrain,0,2009-10-01
2009-10,Bangladesh,0,2009-10-01
2009-10,Bhutan,0,2009-10-01
2009-10,Cambodia,144,2009-10-01
2009-10,China,0,2009-10-01
2009-10,Georgia,5,2009-10-01
2009-10,India,651,2009-10-01
2009-10,Indonesia,0,2009-10-01
2009-10,Iran (Islamic Republic of),1199,2009-10-01
2009-10,Iraq,389,2009-10-01
2009-10,Israel,637,2009-10-01
2009-10,Japan,1751,2009-10-01
2009-10,Jordan,0,2009-10-01
2009-10,Kazakhstan,0,2009-10-01
2009-10,Kyrgyzstan,1,2009-10-01
2009-10,Lao People's Democratic Republic,0,2009-10-01
2009-10,Malaysia,14,2009-10-01
2009-10,Mongolia,491,2009-10-01
2009-10,Nepal,0,2009-10-01
2009-10,Oman,0,2009-10-01
2009-10,Pakistan,2,2009-10-01
2009-10,Philippines,3,2009-10-01
2009-10,Qatar,0,2009-10-01
2009-10,Republic of Korea,764,2009-10-01
2009-10,Singapore,2,2009-10-01
2009-10,Sri Lanka,70,2009-10-01
2009-10,Syrian Arab Republic,0,2009-10-01
2009-10,Thailand,81,2009-10-01
2009-10,Turkey,612,2009-10-01
2009-10,Viet Nam,185,2009-10-01
2009-11,Afghanistan,55,2009-11-01
2009-11,Armenia,0,2009-11-01
2009-11,Azerbaijan,0,2009-11-01
2009-11,Bahrain,0,2009-11-01
2009-11,Bangladesh,0,2009-11-01
2009-11,Bhutan,0,2009-11-01
2009-11,Cambodia,95,2009-11-01
2009-11,China,0,2009-11-01
2009-11,Georgia,184,2009-11-01
2009-11,India,458,2009-11-01
2009-11,Indonesia,0,2009-11-01
2009-11,Iran (Islamic Republic of),2298,2009-11-01
2009-11,Iraq,1249,2009-11-01
2009-11,Israel,2049,2009-11-01
2009-11,Japan,0,2009-11-01
2009-11,Jordan,0,2009-11-01
2009-11,Kazakhstan,0,2009-11-01
2009-11,Kyrgyzstan,169,2009-11-01
2009-11,Lao People's Democratic Republic,0,2009-11-01
2009-11,Malaysia,26,2009-11-01
2009-11,Mongolia,742,2009-11-01
2009-11,Nepal,0,2009-11-01
2009-11,Oman,0,2009-11-01
2009-11,Pakistan,30,2009-11-01
2009-11,Philippines,9,2009-11-01
2009-11,Qatar,0,2009-11-01
2009-11,Republic of Korea,2129,2009-11-01
2009-11,Singapore,0,2009-11-01
