T_Y,Y_M,Ch_Country,Country,Cases,YMD
97,2008-1,亞洲總計,Asia,548240,2008-01-01
97,2008-2,亞洲總計,Asia,665104,2008-02-01
97,2008-3,亞洲總計,Asia,559507,2008-03-01
97,2008-4,亞洲總計,Asia,647556,2008-04-01
97,2008-5,亞洲總計,Asia,611833,2008-05-01
97,2008-6,亞洲總計,Asia,598194,2008-06-01
97,2008-7,亞洲總計,Asia,684286,2008-07-01
97,2008-8,亞洲總計,Asia,605077,2008-08-01
97,2008-9,亞洲總計,Asia,522627,2008-09-01
97,2008-10,亞洲總計,Asia,590938,2008-10-01
97,2008-11,亞洲總計,Asia,475881,2008-11-01
97,2008-12,亞洲總計,Asia,463800,2008-12-01
98,2009-1,亞洲總計,Asia,548279,2009-01-01
98,2009-2,亞洲總計,Asia,519826,2009-02-01
98,2009-3,亞洲總計,Asia,513741,2009-03-01
98,2009-4,亞洲總計,Asia,624813,2009-04-01
98,2009-5,亞洲總計,Asia,569612,2009-05-01
98,2009-6,亞洲總計,Asia,526410,2009-06-01
98,2009-7,亞洲總計,Asia,718207,2009-07-01
98,2009-8,亞洲總計,Asia,736121,2009-08-01
98,2009-9,亞洲總計,Asia,552429,2009-09-01
98,2009-10,亞洲總計,Asia,673435,2009-10-01
98,2009-11,亞洲總計,Asia,598386,2009-11-01
98,2009-12,亞洲總計,Asia,598172,2009-12-01
99,2010-1,亞洲總計,Asia,646818,2010-01-01
99,2010-2,亞洲總計,Asia,754800,2010-02-01
99,2010-3,亞洲總計,Asia,651289,2010-03-01
99,2010-4,亞洲總計,Asia,683094,2010-04-01
99,2010-5,亞洲總計,Asia,704776,2010-05-01
99,2010-6,亞洲總計,Asia,735845,2010-06-01
99,2010-7,亞洲總計,Asia,902724,2010-07-01
99,2010-8,亞洲總計,Asia,809514,2010-08-01
99,2010-9,亞洲總計,Asia,726845,2010-09-01
99,2010-10,亞洲總計,Asia,746365,2010-10-01
99,2010-11,亞洲總計,Asia,642149,2010-11-01
99,2010-12,亞洲總計,Asia,638458,2010-12-01
100,2011-1,亞洲總計,Asia,628836,2011-01-01
100,2011-2,亞洲總計,Asia,746318,2011-02-01
100,2011-3,亞洲總計,Asia,606326,2011-03-01
100,2011-4,亞洲總計,Asia,690567,2011-04-01
100,2011-5,亞洲總計,Asia,736192,2011-05-01
100,2011-6,亞洲總計,Asia,804014,2011-06-01
100,2011-7,亞洲總計,Asia,933756,2011-07-01
100,2011-8,亞洲總計,Asia,825270,2011-08-01
100,2011-9,亞洲總計,Asia,745564,2011-09-01
100,2011-10,亞洲總計,Asia,778938,2011-10-01
100,2011-11,亞洲總計,Asia,655117,2011-11-01
100,2011-12,亞洲總計,Asia,611316,2011-12-01
101,2012-1,亞洲總計,Asia,805418,2012-01-01
101,2012-2,亞洲總計,Asia,711348,2012-02-01
101,2012-3,亞洲總計,Asia,659089,2012-03-01
101,2012-4,亞洲總計,Asia,782368,2012-04-01
101,2012-5,亞洲總計,Asia,774744,2012-05-01
101,2012-6,亞洲總計,Asia,817506,2012-06-01
101,2012-7,亞洲總計,Asia,941943,2012-07-01
101,2012-8,亞洲總計,Asia,842583,2012-08-01
101,2012-9,亞洲總計,Asia,744064,2012-09-01
101,2012-10,亞洲總計,Asia,843869,2012-10-01
101,2012-11,亞洲總計,Asia,731147,2012-11-01
101,2012-12,亞洲總計,Asia,713518,2012-12-01
102,2013-1,亞洲總計,Asia,704042,2013-01-01
102,2013-2,亞洲總計,Asia,914067,2013-02-01
102,2013-3,亞洲總計,Asia,770918,2013-03-01
102,2013-4,亞洲總計,Asia,850233,2013-04-01
102,2013-5,亞洲總計,Asia,799738,2013-05-01
102,2013-6,亞洲總計,Asia,934271,2013-06-01
102,2013-7,亞洲總計,Asia,1017208,2013-07-01
102,2013-8,亞洲總計,Asia,955905,2013-08-01
102,2013-9,亞洲總計,Asia,914652,2013-09-01
102,2013-10,亞洲總計,Asia,952631,2013-10-01
102,2013-11,亞洲總計,Asia,815172,2013-11-01
102,2013-12,亞洲總計,Asia,760100,2013-12-01
103,2014-1,亞洲總計,Asia,791492,2014-01-01
103,2014-2,亞洲總計,Asia,906483,2014-02-01
103,2014-3,亞洲總計,Asia,820385,2014-03-01
103,2014-4,亞洲總計,Asia,930624,2014-04-01
103,2014-5,亞洲總計,Asia,982395,2014-05-01
103,2014-6,亞洲總計,Asia,1014064,2014-06-01
103,2014-7,亞洲總計,Asia,1085808,2014-07-01
103,2014-8,亞洲總計,Asia,989696,2014-08-01
103,2014-9,亞洲總計,Asia,897568,2014-09-01
103,2014-10,亞洲總計,Asia,990199,2014-10-01
103,2014-11,亞洲總計,Asia,833452,2014-11-01
103,2014-12,亞洲總計,Asia,853498,2014-12-01
104,2015-1,亞洲總計,Asia,857718,2015-01-01
