date,Year,Count,rate
2001-01-01,2001,7152877,4.57
2002-01-01,2002,7319466,5.166666666666667
2003-01-01,2003,5923072,4.991666666666667
2004-01-01,2004,7780652,4.435833333333333
2005-01-01,2005,8208125,4.128333333333333
2006-01-01,2006,8671375,3.905
2007-01-01,2007,8963712,3.908333333333333
2008-01-01,2008,8469132,4.1425
2009-01-01,2009,8143989,5.849166666666667
2010-01-01,2010,9417468,5.211666666666667
2011-01-01,2011,9588104,4.385
2012-01-01,2012,10240597,4.236666666666666
2013-01-01,2013,11153129,4.178333333333334
2014-01-01,2014,11906904,3.9591666666666665
2015-01-01,2015,13306640,3.7808333333333333
